name	times_appeared	tested_count
Alabama	641611	Between 500k to 1 million
Alaska	205066	Between 0 to 500k
Arizona	857609	Between 500k to 1 million
Arkansas	461464	Between 0 to 500k
California	7047355	More then 3 million
Colorado	479744	Between 0 to 500k
Connecticut	713072	Between 500k to 1 million
Delaware	166922	Between 0 to 500k
District of Columbia	169009	Between 0 to 500k
Florida	3336377	More then 3 million
Georgia	1407840	Between 1 million to 3 million
Hawaii	112790	Between 0 to 500k
Idaho	163440	Between 0 to 500k
Illinois	2471965	Between 1 million to 3 million
Indiana	690274	Between 500k to 1 million
Iowa	446263	Between 0 to 500k
Kansas	277967	Between 0 to 500k
Kentucky	541583	Between 500k to 1 million
Louisiana	1199726	Between 1 million to 3 million
Maine	153373	Between 0 to 500k
Maryland	825326	Between 500k to 1 million
Massachusetts	1110883	Between 1 million to 3 million
Michigan	1614646	Between 1 million to 3 million
Minnesota	940696	Between 500k to 1 million
Mississippi	421886	Between 0 to 500k
Missouri	619721	Between 500k to 1 million
Montana	151015	Between 0 to 500k
Nebraska	252605	Between 0 to 500k
Nevada	430521	Between 0 to 500k
New Hampshire	152290	Between 0 to 500k
New Jersey	1888157	Between 1 million to 3 million
New Mexico	505177	Between 500k to 1 million
New York	5516311	More then 3 million
North Carolina	1579042	Between 1 million to 3 million
North Dakota	144260	Between 0 to 500k
Ohio	1293822	Between 1 million to 3 million
Oklahoma	565709	Between 500k to 1 million
Oregon	374010	Between 0 to 500k
Pennsylvania	1123330	Between 1 million to 3 million
Rhode Island	190028	Between 0 to 500k
South Carolina	638490	Between 500k to 1 million
South Dakota	105913	Between 0 to 500k
Tennessee	1332374	Between 1 million to 3 million
Texas	3306042	More then 3 million
Utah	500139	Between 500k to 1 million
Vermont	88816	Between 0 to 500k
Virginia	1010443	Between 1 million to 3 million
Washington	883982	Between 500k to 1 million
West Virginia	256914	Between 0 to 500k
Wisconsin	860243	Between 500k to 1 million
Wyoming	48269	Between 0 to 500k
